,Date,CPIH Annual Rate
0,2006-01-01,2.2
1,2006-02-01,2.2
2,2006-03-01,2.0
3,2006-04-01,2.2
4,2006-05-01,2.4
5,2006-06-01,2.6
6,2006-07-01,2.5
7,2006-08-01,2.6
8,2006-09-01,2.5
9,2006-10-01,2.5
10,2006-11-01,2.8
11,2006-12-01,2.9
12,2007-01-01,2.7
13,2007-02-01,2.7
14,2007-03-01,2.9
15,2007-04-01,2.7
16,2007-05-01,2.5
17,2007-06-01,2.5
18,2007-07-01,2.0
19,2007-08-01,2.0
20,2007-09-01,2.0
21,2007-10-01,2.3
22,2007-11-01,2.2
23,2007-12-01,2.3
24,2008-01-01,2.4
25,2008-02-01,2.6
26,2008-03-01,2.6
27,2008-04-01,3.0
28,2008-05-01,3.3
29,2008-06-01,3.7
30,2008-07-01,4.2
31,2008-08-01,4.4
32,2008-09-01,4.8
33,2008-10-01,4.2
34,2008-11-01,3.8
35,2008-12-01,3.0
36,2009-01-01,2.9
37,2009-02-01,3.1
38,2009-03-01,2.8
39,2009-04-01,2.3
40,2009-05-01,2.1
41,2009-06-01,1.7
42,2009-07-01,1.6
43,2009-08-01,1.4
44,2009-09-01,1.0
45,2009-10-01,1.2
46,2009-11-01,1.5
47,2009-12-01,2.1
48,2010-01-01,2.6
49,2010-02-01,2.1
50,2010-03-01,2.4
51,2010-04-01,2.7
52,2010-05-01,2.5
53,2010-06-01,2.4
54,2010-07-01,2.3
55,2010-08-01,2.4
56,2010-09-01,2.4
57,2010-10-01,2.5
58,2010-11-01,2.6
59,2010-12-01,3.1
60,2011-01-01,3.4
61,2011-02-01,3.7
62,2011-03-01,3.5
63,2011-04-01,3.8
64,2011-05-01,3.8
65,2011-06-01,3.6
66,2011-07-01,3.8
67,2011-08-01,3.9
68,2011-09-01,4.5
69,2011-10-01,4.3
70,2011-11-01,4.1
71,2011-12-01,3.7
72,2012-01-01,3.2
73,2012-02-01,3.1
74,2012-03-01,3.1
75,2012-04-01,2.8
76,2012-05-01,2.5
77,2012-06-01,2.3
78,2012-07-01,2.4
79,2012-08-01,2.3
80,2012-09-01,2.1
81,2012-10-01,2.4
82,2012-11-01,2.4
83,2012-12-01,2.4
84,2013-01-01,2.4
85,2013-02-01,2.5
86,2013-03-01,2.5
87,2013-04-01,2.2
88,2013-05-01,2.4
89,2013-06-01,2.6
90,2013-07-01,2.5
91,2013-08-01,2.4
92,2013-09-01,2.4
93,2013-10-01,2.0
94,2013-11-01,1.9
95,2013-12-01,1.9
96,2014-01-01,1.8
97,2014-02-01,1.6
98,2014-03-01,1.5
99,2014-04-01,1.7
100,2014-05-01,1.5
101,2014-06-01,1.8
102,2014-07-01,1.6
103,2014-08-01,1.5
104,2014-09-01,1.3
105,2014-10-01,1.3
106,2014-11-01,1.1
107,2014-12-01,0.7
108,2015-01-01,0.5
109,2015-02-01,0.4
110,2015-03-01,0.3
111,2015-04-01,0.3
112,2015-05-01,0.4
113,2015-06-01,0.3
114,2015-07-01,0.5
115,2015-08-01,0.4
116,2015-09-01,0.2
117,2015-10-01,0.2
118,2015-11-01,0.4
119,2015-12-01,0.5
120,2016-01-01,0.6
121,2016-02-01,0.6
122,2016-03-01,0.8
123,2016-04-01,0.7
124,2016-05-01,0.7
125,2016-06-01,0.8
126,2016-07-01,0.9
127,2016-08-01,1.0
128,2016-09-01,1.3
129,2016-10-01,1.3
130,2016-11-01,1.5
131,2016-12-01,1.8
132,2017-01-01,1.9
133,2017-02-01,2.3
134,2017-03-01,2.3
135,2017-04-01,2.6
136,2017-05-01,2.7
137,2017-06-01,2.6
138,2017-07-01,2.6
139,2017-08-01,2.7
140,2017-09-01,2.8
141,2017-10-01,2.8
142,2017-11-01,2.8
143,2017-12-01,2.7
144,2018-01-01,2.7
145,2018-02-01,2.5
146,2018-03-01,2.3
147,2018-04-01,2.2
148,2018-05-01,2.3
149,2018-06-01,2.3
150,2018-07-01,2.3
151,2018-08-01,2.4
152,2018-09-01,2.2
153,2018-10-01,2.2
154,2018-11-01,2.2
155,2018-12-01,2.0
156,2019-01-01,1.8
157,2019-02-01,1.8
158,2019-03-01,1.8
159,2019-04-01,2.0
160,2019-05-01,1.9
161,2019-06-01,1.9
162,2019-07-01,2.0
163,2019-08-01,1.7
164,2019-09-01,1.7
165,2019-10-01,1.5
166,2019-11-01,1.5
167,2019-12-01,1.4
168,2020-01-01,1.8
169,2020-02-01,1.7
170,2020-03-01,1.5
171,2020-04-01,0.9
172,2020-05-01,0.7
173,2020-06-01,0.8
174,2020-07-01,1.1
175,2020-08-01,0.5
176,2020-09-01,0.7
177,2020-10-01,0.9
178,2020-11-01,0.6
179,2020-12-01,0.8
180,2021-01-01,0.9
181,2021-02-01,0.7
182,2021-03-01,1.0
183,2021-04-01,1.6
184,2021-05-01,2.1
185,2021-06-01,2.4
186,2021-07-01,2.1
187,2021-08-01,3.0
188,2021-09-01,2.9
189,2021-10-01,3.8
190,2021-11-01,4.6
191,2021-12-01,4.8
192,2022-01-01,4.9
193,2022-02-01,5.5
194,2022-03-01,6.2
195,2022-04-01,7.8
196,2022-05-01,7.9
197,2022-06-01,8.2
198,2022-07-01,8.8
199,2022-08-01,8.6
200,2022-09-01,8.8
201,2022-10-01,9.6
202,2022-11-01,9.3
203,2022-12-01,9.2
